9675864	9675936	頭	護靈者王冠ZP
9676368	9676440	頭	護靈者王冕ZP
9676872	9676944	頭	兵士頭飾ZP
9677376	9677448	頭	兵士軍帽ZP
9673992	9674064	頭	野蠻護髮ZP
9674496	9674568	頭	野蠻髮束ZP
9673416	9673488	頭	晴雲頭飾ZP
9673488	9673560	頭	晴雲髮飾ZP
9673272	9673344	頭	失落狂眼ZP
9673344	9673416	頭	失落猛眼ZP
9673200	9673272	頭	噬天光眼ZP
9673128	9673200	頭	噬天神眼ZP
								
8587792	8587864	胴	護靈者風衣ZP
8588296	8588368	胴	護靈者之翼ZP
8588800	8588872	胴	兵士外衣ZP
8589304	8589376	胴	兵士披肩ZP
8586568	8586640	胴	野蠻護甲ZP
8587072	8587144	胴	野蠻鎖甲ZP
8585992	8586064	胴	晴雲鎖甲ZP
8586064	8586136	胴	晴雲衣裳ZP
8585848	8585920	胴	失落狂甲ZP
8585920	8585992	胴	失落猛甲ZP
8585704	8585776	胴	噬天光甲ZP
8585776	8585848	胴	噬天神甲ZP

7500368	7500440	腕	護靈者腕甲ZP
7500872	7500944	腕	護靈者袖扣ZP
7501376	7501448	腕	兵士腕甲ZP
7501880	7501952	腕	兵士袖扣ZP
7499144	7499216	腕	野蠻護腕ZP
7499648	7499720	腕	野蠻手甲ZP
7498568	7498640	腕	晴雲手甲ZP
7498640	7498712	腕	晴雲護腕ZP
7498424	7498496	腕	失落狂腕ZP
7498496	7498568	腕	失落猛腕ZP
7498280	7498352	腕	噬天光腕ZP
7498352	7498424	腕	噬天神腕ZP

6412944	6413016	腰	護靈者皮帶ZP
6413448	6413520	腰	護靈者腰扣ZP
6413952	6414024	腰	兵士皮帶ZP
6414456	6414528	腰	兵士腰架ZP
6411720	6411792	腰	野蠻護腰ZP
6412224	6412296	腰	野蠻腰飾ZP
6411144	6411216	腰	晴雲護腰ZP
6411216	6411288	腰	晴雲腰飾ZP
6411000	6411072	腰	失落狂腰ZP
6411072	6411144	腰	失落猛腰ZP
6410856	6410928	腰	噬天光腰ZP
6410928	6411000	腰	噬天神腰ZP

5325520	5325592	脚	護靈者靴ZP
5326024	5326096	脚	護靈者絲襪ZP
5326528	5326600	脚	兵士護腿ZP
5327032	5327104	脚	兵士吊帶襪ZP
5324296	5324368	脚	野蠻護腿ZP
5324800	5324872	脚	野蠻脛甲ZP
5323720	5323792	脚	晴雲脛甲ZP
5323792	5323864	脚	晴雲護腿ZP
5323576	5323648	脚	失落狂脛ZP
5323648	5323720	脚	失落猛脛ZP
5323432	5323504	脚	噬天光脛ZP
5323504	5323576	脚	噬天神脛ZP
